zone,start_local,start_utc,duration_sec,accuracy,source
Randreihe,2026-05-12 15:00:00,2026-05-12 13:00:00,180,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-12 16:00:00,2026-05-12 14:00:00,172,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-12 16:30:00,2026-05-12 14:30:00,172,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 07:00:00,2026-05-13 05:00:00,172,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 08:00:00,2026-05-13 06:00:00,171,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 09:00:00,2026-05-13 07:00:00,174,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 09:30:00,2026-05-13 07:30:00,174,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 10:00:00,2026-05-13 08:00:00,172,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 10:30:00,2026-05-13 08:30:00,172,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 11:00:00,2026-05-13 09:00:00,175,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 11:30:00,2026-05-13 09:30:00,175,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 12:00:00,2026-05-13 10:00:00,169,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 12:30:00,2026-05-13 10:30:00,169,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 13:00:00,2026-05-13 11:00:00,175,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 14:00:00,2026-05-13 12:00:00,177,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 15:00:00,2026-05-13 13:00:00,174,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 16:00:00,2026-05-13 14:00:00,170,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 17:00:00,2026-05-13 15:00:00,176,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-13 17:30:00,2026-05-13 15:30:00,176,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 07:00:00,2026-05-14 05:00:00,171,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 08:00:00,2026-05-14 06:00:00,177,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 09:00:00,2026-05-14 07:00:00,175,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 09:30:00,2026-05-14 07:30:00,175,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 10:00:00,2026-05-14 08:00:00,175,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 11:00:00,2026-05-14 09:00:00,177,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 11:30:00,2026-05-14 09:30:00,177,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 12:00:00,2026-05-14 10:00:00,176,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-14 12:00:00,2026-05-14 10:00:00,180,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 12:30:00,2026-05-14 10:30:00,176,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 13:00:00,2026-05-14 11:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-14 13:00:00,2026-05-14 11:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-14 13:00:00,2026-05-14 11:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 13:30:00,2026-05-14 11:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 14:00:00,2026-05-14 12:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 14:30:00,2026-05-14 12:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 15:00:00,2026-05-14 13:00:00,119,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 16:00:00,2026-05-14 14:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 16:30:00,2026-05-14 14:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 17:00:00,2026-05-14 15:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-14 17:30:00,2026-05-14 15:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 07:00:00,2026-05-15 05:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 09:00:00,2026-05-15 07:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 09:30:00,2026-05-15 07:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 10:00:00,2026-05-15 08:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-15 10:00:00,2026-05-15 08:00:00,10,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 10:30:00,2026-05-15 08:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 11:00:00,2026-05-15 09:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-15 11:00:00,2026-05-15 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-15 11:00:00,2026-05-15 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 11:30:00,2026-05-15 09:30:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 12:00:00,2026-05-15 10:00:00,119,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 13:00:00,2026-05-15 11:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 13:30:00,2026-05-15 11:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 14:00:00,2026-05-15 12:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-15 14:00:00,2026-05-15 12:00:00,11,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 14:30:00,2026-05-15 12:30:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 15:00:00,2026-05-15 13:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 15:30:00,2026-05-15 13:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 16:00:00,2026-05-15 14:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 16:30:00,2026-05-15 14:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 17:00:00,2026-05-15 15:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-15 17:30:00,2026-05-15 15:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 07:00:00,2026-05-16 05:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 08:00:00,2026-05-16 06:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 09:00:00,2026-05-16 07:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 09:30:00,2026-05-16 07:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 10:00:00,2026-05-16 08:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-16 10:00:00,2026-05-16 08:00:00,8,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 10:30:00,2026-05-16 08:30:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 11:00:00,2026-05-16 09:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-16 11:00:00,2026-05-16 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-16 11:00:00,2026-05-16 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 11:30:00,2026-05-16 09:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 12:00:00,2026-05-16 10:00:00,113,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 12:30:00,2026-05-16 10:30:00,113,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 13:00:00,2026-05-16 11:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 13:30:00,2026-05-16 11:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 14:00:00,2026-05-16 12:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-16 14:00:00,2026-05-16 12:00:00,8,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 14:30:00,2026-05-16 12:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 15:00:00,2026-05-16 13:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 15:30:00,2026-05-16 13:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 16:00:00,2026-05-16 14:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 17:00:00,2026-05-16 15:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 17:30:00,2026-05-16 15:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 07:00:00,2026-05-17 05:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 08:00:00,2026-05-17 06:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 09:00:00,2026-05-17 07:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 09:30:00,2026-05-17 07:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 10:00:00,2026-05-17 08:00:00,113,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-17 10:00:00,2026-05-17 08:00:00,9,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 10:30:00,2026-05-17 08:30:00,113,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 11:00:00,2026-05-17 09:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-17 11:00:00,2026-05-17 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-17 11:00:00,2026-05-17 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 11:30:00,2026-05-17 09:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 12:00:00,2026-05-17 10:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
